Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Journey_j_id",FF237A19-A763-45A1-61DE-368C35FD2C64,155,,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"JourneyTask",P,F,BIGINT,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"QuestTaskItem_qi_id",C4107707-7363-373E-DE9C-49B683E5CC18,156,,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"JourneyTask",,F,BIGINT,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"QuestTask_qt_id",39442211-189D-C4C3-B08B-6CE0BE3D6037,157,,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"JourneyTask",P,F,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"QuestTask_qt_id",54126FE2-4D4E-7480-86D7-B2321FDF72FB,158,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,N,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"QuestTaskItem",,F,BIGINT,8,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"Quest_q_id",AA0B7070-5765-3414-756B-99EB71A1D32F,159,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,N,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"QuestTask",,F,BIGINT,7,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"UserIntentory_i_id",812329D2-A036-EB04-B235-732462FC62C3,160,,776C13CF-C0E8-B699-FE19-5F038705B320,152,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"User_inventory",P,F,BIGINT,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"User_u_id",B64695BD-5234-B057-DD7A-A57486AD1845,161,,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,N,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"Journey",,F,BIGINT,5,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"User_u_id",21ABF79C-ED9A-D741-5FF6-862D75DF256A,162,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"UserDetails",,F,BIGINT,7,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"User_u_id",AAF82D6C-9CE2-D9E2-80DF-E5298E91F530,163,,776C13CF-C0E8-B699-FE19-5F038705B320,152,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"User_inventory",P,F,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"User_u_id",819464F9-77BC-4EFF-BF80-ACE257526D15,164,,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"Users__World",P,F,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"World_w_id",8CED528D-1083-309D-3798-252DD96522FA,165,,741233A4-8E97-8D51-4B28-4098E59EF913,146,N,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"Quest",,F,BIGINT,4,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"World_w_id",93544398-D313-275D-09C9-AD04ADEA53FF,166,,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"Users__World",P,F,BIGINT,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"i_content",20E121A5-CABA-648E-A472-5E42186A3469,167,,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,N,Logical Type,,N,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,N,Y,"UserIntentory",,,TEXT,4,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"i_id",3A76B496-CE3C-0351-A522-09247BF8A663,168,,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"UserIntentory",P,,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"i_name",2C745777-F20A-4400-FCBC-610F72048839,169,,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"UserIntentory",,,VARCHAR,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",50 BYTE,,,
"i_type",EFEC0FEB-3C69-6C13-676E-57843CA4D096,170,,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,N,Logical Type,,N,,,,DOM3000004,1,LOGDT018,46,,,,,,,,,N,,SMALLINT,,,,N,Y,"UserIntentory",,,SMALLINT,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"j_id",3DF33BEC-2304-9DE8-A8A1-389F7B7599EF,171,,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"Journey",P,,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"j_points",41D7AD98-9AE5-0B25-8F56-3C44492A25C6,172,,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT020,21,,,,,,,,,N,,DOUBLE,,,,N,Y,"Journey",,,BIGINT,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"j_points_max",50CA6D13-984C-BDF8-54BA-7CA6DF9F1AB0,173,,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT020,21,,,,,,,,,N,,DOUBLE,,,,N,Y,"Journey",,,BIGINT,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"j_status",ED5D9282-9BA0-39C5-EF70-02A48B138407,174,,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,N,Logical Type,,N,,,,DOM3000004,1,LOGDT018,46,,,,,,,,,N,,SMALLINT,,,,N,Y,"Journey",,,SMALLINT,4,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"q_end",560E8C4F-A9A3-0466-06BA-B78686F72A82,175,,741233A4-8E97-8D51-4B28-4098E59EF913,146,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"Quest",,,DATETIME,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"q_id",A4EC2137-D7CB-CB1B-FC92-7D541EEC211A,176,,741233A4-8E97-8D51-4B28-4098E59EF913,146,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"Quest",P,,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"q_start",EF545254-8609-8873-9055-0768EB5AA7B0,177,,741233A4-8E97-8D51-4B28-4098E59EF913,146,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"Quest",,,DATETIME,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qi_data",7C619D8C-4A2B-F526-11FE-1C4D5F686779,178,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,N,Y,"QuestTaskItem",,,TEXT,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qi_evaluation",9B31D18C-E7A5-297E-7920-F65D3CDA1E01,179,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT020,21,,,,,,,,,N,,DOUBLE,,,,N,Y,"QuestTaskItem",,,BIGINT,5,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qi_id",BDFCC28E-8109-F9D8-DCB4-CC2D2A245DA5,180,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"QuestTaskItem",P,,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qi_id1",9099D954-B3BD-2EA2-2DED-9EAF5A21B40A,181,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"QuestTaskItem",,,BIGINT,7,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qi_name",41B3241E-5183-DEC4-CD4B-608EAD37EA82,182,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"QuestTaskItem",,,VARCHAR,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",60 BYTE,,,
"qi_uri_image",6499DF14-C517-8AB0-7701-75AC0A6337C3,183,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,N,Logical Type,,N,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,N,Y,"QuestTaskItem",,,TEXT,4,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qt_dificulty",88217339-1917-45B0-81EE-77913A72D4C6,184,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT018,46,,,,,,,,,N,,SMALLINT,,,,N,Y,"QuestTask",,,SMALLINT,4,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qt_id",F953BB59-A3EF-BC59-4A1A-A11AAB85A51D,185,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"QuestTask",P,,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qt_id",D6C971D2-41C1-6F66-0867-28785AA89EF0,186,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"QuestTaskItem",,,BIGINT,6,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qt_name",D4179327-CF53-672F-75AC-49FD6955E906,187,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"QuestTask",,,VARCHAR,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",60 BYTE,,,
"qt_type",A6084FB5-7D1E-1356-88D7-6DED66E06A87,188,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT018,46,,,,,,,,,N,,SMALLINT,,,,N,Y,"QuestTask",,,SMALLINT,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qt_uri_badge",70672FD4-FF83-A18F-2941-B54ACEB706DA,189,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,N,Logical Type,,N,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,N,Y,"QuestTask",,,TEXT,6,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"qt_uri_data",1A935817-E1A5-4288-1F7D-40F726F531BF,190,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,N,Logical Type,,N,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,N,Y,"QuestTask",,,TEXT,5,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"u_email",0F3F8D1D-92E4-8B8F-55F3-70EA08FFE4BB,191,,5D589AEE-D216-4847-85D5-51809CB6B333,149,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"User",,,VARCHAR,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",255 CHAR,,,
"u_id",7D94046F-624C-BCB4-C49E-7ED449B1B100,192,,5D589AEE-D216-4847-85D5-51809CB6B333,149,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"User",P,,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"u_password",54ADE4FB-E7A6-90C8-5659-DF14BDF546A0,193,,5D589AEE-D216-4847-85D5-51809CB6B333,149,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"User",,,VARCHAR,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",128 BYTE,,,
"u_role_str",6F1AEBA5-EDC7-3480-12B2-271FB1FE97C4,194,,5D589AEE-D216-4847-85D5-51809CB6B333,149,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"User",,,VARCHAR,4,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",60 BYTE,,,
"ue_dob",3057F48D-3EEE-5723-8B50-7F13A49DC7CA,195,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,N,Y,"UserDetails",,,DATETIME,4,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"ue_level",A31F9767-6FCD-6101-47B9-9A302DEB00AC,196,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT018,46,,,,,,,,,N,,SMALLINT,,,,N,Y,"UserDetails",,,SMALLINT,6,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"ue_name",EB98F2B8-409E-3B3B-5915-990A0CADA0CC,197,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"UserDetails",,,VARCHAR,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",80 BYTE,,,
"ue_nickname",3BFC14B4-5BCC-0427-416D-E1C107175BCA,198,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"UserDetails",,,VARCHAR,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",30 BYTE,,,
"ue_surname",E286C026-793F-8331-B994-182B8D7F7380,199,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"UserDetails",,,VARCHAR,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",100 BYTE,,,
"ue_uri_avatar",5E804231-6E6B-8150-7A09-654377A4039C,200,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,N,Logical Type,,N,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,N,Y,"UserDetails",,,TEXT,5,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"w_fullname",69748970-23E4-D2D9-3405-4F7247800029,201,,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"World",,,VARCHAR,3,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",255 BYTE,,,
"w_id",8B11A941-AA8B-AA18-126B-052309FDB637,202,,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,N,Y,"World",P,,BIGINT,1,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",,,,
"w_short_name",E3E8B5CC-2364-8974-43BB-AEEC911F6439,203,,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"World",,,VARCHAR,2,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",10 CHAR,,,
